id;name;description;begindate;enddate;level
1;Checking unleash hacking;Group Granite;2023-05-16;2023-05-16;LICENSE
2;Reunion frictionless;fresh-thinking Cambridgeshire;2023-05-16;2023-05-16;BAC
3;Implementation Iran;Analyst;2023-05-16;2023-05-16;BAC
4;deliver Team-oriented;COM solution-oriented Steel;2023-05-16;2023-05-16;PHD
5;contingency Markets;content;2023-05-16;2023-05-16;LICENSE
6;Dynamic Uzbekistan Refined;Account Mobility;2023-05-16;2023-05-16;MAITRISE
7;Oklahoma copy Re-engineered;Turkmenistan Keyboard e-markets;2023-05-16;2023-05-16;BAC
8;Movies algorithm networks;Soft;2023-05-16;2023-05-16;PHD
9;Rubber;Music Personal;2023-05-16;2023-05-15;LICENSE
10;hybrid Brand Checking;Bedfordshire Spur;2023-05-16;2023-05-15;MAITRISE
